customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
26,300000,0,10.0,3,1,7800,13.49,6,1,4,1
21,12000,2,5.0,1,0,2500,7.51,1,0,4,0
22,48000,3,1.0,1,3,30000,18.39,10,0,2,0
24,64000,3,8.0,0,2,30000,14.54,10,2,3,0
25,75000,3,4.0,2,2,30000,16.89,10,2,4,0
23,71500,3,3.0,0,2,30000,11.011821205538963,10,0,4,0
26,62050,3,6.0,3,3,30000,17.99,10,0,2,0
24,12000,2,4.0,5,0,2500,12.69,4,0,3,0
26,300000,0,10.0,5,0,20000,7.88,10,1,4,1
23,300000,2,1.0,1,4,24250,19.41,10,2,2,1
26,300000,2,9.0,2,0,10000,10.38,6,1,4,1
26,300000,0,0.0,1,2,25000,15.33,10,1,3,1
25,300000,0,9.0,2,3,18000,16.45,10,1,3,1
26,80690,3,8.0,4,0,30000,7.49,10,1,3,1
22,66300,3,4.0,3,0,30000,12.69,10,1,3,1
26,89028,3,0.0,0,0,30000,6.62,10,1,3,1
24,78000,3,4.0,0,2,30000,11.011821205538963,10,2,4,0
23,78000,3,7.0,0,4,30000,18.62,10,2,3,0
23,92004,3,6.0,4,1,30000,15.23,10,2,3,0
23,97000,3,7.0,5,0,30000,10.65,10,2,2,1
25,120000,3,9.0,1,0,30000,7.9,10,1,4,1
26,280000,3,4.0,4,1,10000,15.96,6,2,3,1
26,277104,3,0.0,5,0,20000,11.48,10,1,3,1
23,277000,2,3.0,4,0,35000,11.011821205538963,10,1,4,1
25,128000,3,9.0,4,0,30000,7.29,10,1,4,1
24,12000,2,2.0,5,3,1750,11.011821205538963,4,2,3,1
21,131000,3,0.0,5,0,30000,5.99,10,1,4,1
22,275000,2,6.0,5,0,12000,11.58,10,1,2,1
26,263000,0,0.0,1,0,10000,11.011821205538963,6,0,4,0
25,221850,0,9.0,3,2,25000,15.7,10,0,2,0
22,70000,3,6.0,1,2,29100,15.99,10,0,3,0
22,12000,0,7.0,1,2,1500,14.84,2,2,3,1
26,260000,2,10.0,2,0,28000,10.99,10,1,3,1
25,259000,0,9.0,2,2,20000,14.42,10,2,2,1
24,255000,0,9.0,1,0,9600,6.99,4,1,2,1
25,250000,3,2.0,3,1,25000,13.49,10,1,4,1
25,12000,2,0.0,3,1,3000,11.011821205538963,5,0,3,0
22,56950,3,6.0,3,0,28000,11.011821205538963,10,1,2,1
21,12000,2,6.0,1,1,3000,13.61,1,2,3,0
23,65000,3,2.0,1,0,28000,7.9,10,1,2,1
26,85000,3,2.0,5,0,28000,7.49,10,1,3,1
26,12000,2,2.0,1,0,6100,7.51,6,0,3,0
22,88000,3,6.0,5,0,28000,9.91,10,1,3,1
21,12000,2,0.0,4,1,4200,13.48,1,2,4,0
22,12000,2,6.0,0,0,4750,7.14,2,0,2,0
24,83004,3,0.0,5,2,28000,15.99,10,2,4,0
24,250000,3,2.0,1,1,18000,12.98,10,2,3,1
144,250000,3,4.0,5,1,4800,13.57,4,1,3,1
25,100000,3,5.0,0,0,28000,12.69,10,1,3,1
26,110000,3,10.0,1,0,28000,8.9,10,1,2,1
26,12000,2,0.0,0,0,2700,11.011821205538963,6,0,4,0
22,108000,3,6.0,1,0,28000,11.011821205538963,10,1,4,1
23,151200,3,7.0,0,0,28000,11.11,10,1,2,1
24,69000,3,2.0,2,0,27600,11.011821205538963,10,1,2,1
21,12000,0,5.0,0,3,3250,15.68,1,2,3,0
22,70000,3,4.0,1,1,27500,13.06,10,2,3,0
22,240000,2,6.0,4,0,25000,11.011821205538963,10,2,2,1
26,73200,3,5.0,5,2,27050,15.62,10,2,2,0
24,83000,3,5.0,4,1,27000,13.49,10,2,2,0
24,73399,3,0.0,5,2,27000,11.011821205538963,10,0,3,0
23,62500,3,7.0,3,0,26000,11.71,10,1,2,1
23,120000,3,1.0,1,0,25600,12.69,10,1,3,1
24,12360,2,2.0,3,1,1600,13.57,4,1,3,1
22,60000,3,0.0,5,0,25475,10.99,10,1,3,1
25,234000,0,3.0,3,1,20000,14.27,10,2,4,1
24,234000,2,8.0,2,0,20000,8.88,10,1,4,1
26,234000,0,10.0,2,0,21600,12.18,10,1,3,1
25,221004,0,6.0,0,2,11900,14.42,10,2,3,0
26,232500,0,0.0,3,1,25000,14.17,10,2,2,1
25,230000,0,5.0,3,1,35000,13.99,10,1,4,1
23,83000,3,7.0,1,0,25300,10.99,10,1,3,1
25,12600,2,3.0,4,1,1750,13.61,5,1,3,1
21,42500,3,3.0,1,1,25000,12.73,10,2,3,0
24,41000,3,2.0,2,2,25000,11.011821205538963,10,0,3,0
25,12816,2,0.0,0,1,3000,12.87,5,2,4,0
24,12960,0,1.0,2,0,3650,9.91,4,0,3,0
26,226000,0,4.0,2,0,20000,11.49,10,1,4,1
25,225000,0,0.0,2,3,30000,19.91,10,2,2,1
26,213000,0,6.0,1,0,35000,10.65,10,0,2,0
24,225000,3,0.0,3,0,6000,11.011821205538963,4,1,4,1
24,12960,0,0.0,0,0,4500,11.83,4,0,4,0
23,12996,2,0.0,0,1,2400,13.49,3,2,2,0
22,42000,3,6.0,3,2,25000,14.59,10,2,2,0
26,48000,3,2.0,1,1,25000,9.64,10,0,4,0
25,12996,2,1.0,3,2,3600,14.59,5,0,3,0
22,12996,2,1.0,1,0,4750,11.011821205538963,2,0,3,0
25,42360,3,1.0,1,3,25000,16.35,10,2,3,0
21,49000,3,4.0,1,1,25000,10.99,10,0,2,0
25,225000,0,0.0,5,4,25000,18.67,10,1,2,1
26,225000,3,1.0,1,0,3000,9.32,6,1,4,1
23,225000,3,8.0,0,0,7500,8.63,3,1,2,1
26,225000,0,2.0,5,0,25000,10.08,10,1,2,1
22,49464,3,5.0,4,1,25000,11.83,10,0,3,0
23,50000,3,1.0,0,0,25000,7.9,10,1,3,1
25,50000,3,4.0,2,0,25000,5.99,10,0,2,0
24,44000,3,2.0,0,2,25000,15.33,10,0,2,0
23,50000,3,1.0,5,0,25000,11.83,10,2,4,1
22,50004,3,0.0,5,0,25000,10.36,10,1,2,1
22,50004,3,3.0,5,1,25000,12.23,10,0,3,0
22,52000,3,2.0,1,0,25000,11.11,10,1,4,1
23,13200,2,3.0,0,0,4950,7.9,3,0,4,0
24,220000,0,1.0,1,0,25000,11.58,10,1,2,1
23,216000,0,5.0,0,0,21000,8.9,10,1,3,1
25,216000,0,2.0,1,2,25000,16.07,10,1,3,1
26,216000,0,10.0,1,1,20000,14.22,10,2,2,1
23,215000,0,7.0,3,1,35000,14.79,10,2,3,1
26,215000,0,11.0,1,0,12000,7.88,10,1,2,1
23,52000,3,1.0,4,1,25000,13.22,10,0,2,0
26,46000,3,2.0,0,2,25000,11.86,10,0,4,0
22,53000,3,5.0,1,1,25000,13.43,10,2,4,0
26,47000,3,0.0,2,2,25000,15.28,10,2,2,0
23,47000,3,1.0,5,3,25000,17.93,10,0,2,0
23,13200,0,2.0,1,0,1400,9.25,3,1,4,1
21,13200,2,0.0,5,1,4500,12.98,1,0,4,0
22,210000,0,6.0,5,0,16000,10.62,10,1,4,1
26,210000,2,10.0,4,0,22000,11.83,10,1,4,1
26,48000,3,5.0,5,4,25000,18.43,10,0,2,0
22,54996,3,6.0,1,0,25000,11.011821205538963,10,1,4,1
24,55000,3,4.0,2,2,25000,11.011821205538963,10,2,4,0
23,55000,3,4.0,1,0,25000,11.36,10,1,3,1
23,55000,3,4.0,1,2,25000,15.65,10,2,3,0
24,55164,3,8.0,4,1,25000,13.22,10,2,4,0
26,56000,3,4.0,0,1,25000,12.87,10,0,2,0
24,203500,2,8.0,3,1,20000,13.04,10,1,3,1
23,190000,0,5.0,1,4,22000,17.58,10,2,3,0
23,13920,2,2.0,4,3,7750,17.04,3,0,4,0
24,60000,3,0.0,4,0,25000,10.99,10,0,3,0
24,60000,3,2.0,4,0,25000,11.11,10,0,3,0
26,54000,3,7.0,0,2,25000,14.83,10,2,2,0
23,14000,2,2.0,0,2,4000,11.011821205538963,3,0,3,0
24,200000,3,8.0,3,0,12000,12.69,10,1,2,1
24,200000,0,8.0,2,1,12000,13.49,10,1,2,1
21,200000,0,5.0,1,1,16000,14.65,10,1,4,1
25,54000,3,3.0,2,3,25000,16.82,10,0,4,0
23,60000,3,3.0,4,1,25000,12.73,10,0,3,0
23,60000,3,7.0,4,0,25000,10.25,10,0,4,0
21,60000,3,6.0,1,0,25000,10.99,10,0,4,0
25,61959,3,9.0,3,1,25000,12.73,10,0,2,0
22,56400,3,2.0,2,2,25000,14.96,10,2,3,0
23,200000,0,7.0,1,0,28000,11.011821205538963,10,1,2,1
21,200000,0,2.0,0,1,25000,13.99,10,1,2,1
24,200000,0,3.0,5,0,24000,7.49,10,2,4,1
26,200000,0,4.0,1,1,15000,14.79,10,1,3,1
25,200000,0,2.0,0,0,15500,11.99,10,1,2,1
24,200000,3,8.0,1,0,10000,8.49,4,1,4,1
24,66000,3,3.0,1,0,25000,9.91,10,0,2,0
22,66000,3,6.0,1,1,25000,13.06,10,2,3,0
22,200000,0,6.0,0,0,9000,6.17,2,1,4,1
144,200000,0,4.0,1,0,6000,11.86,4,1,2,1
25,200000,3,5.0,1,2,18000,16.32,10,1,3,1
25,200000,0,2.0,5,0,12000,10.38,10,1,2,1
25,200000,0,9.0,4,1,23050,14.35,10,1,3,1
24,200000,0,8.0,0,0,20000,11.011821205538963,10,1,3,1
24,60000,3,2.0,0,3,25000,11.011821205538963,10,2,2,0
21,14400,2,0.0,2,0,3000,11.011821205538963,1,0,4,0
26,66996,3,10.0,4,2,25000,15.21,10,2,2,0
23,67000,3,3.0,1,0,25000,7.9,10,0,4,0
24,67000,3,2.0,5,0,25000,10.99,10,0,3,0
24,68000,3,5.0,4,2,25000,14.09,10,2,3,0
25,69000,3,9.0,4,2,25000,17.49,10,0,2,0
25,200000,0,0.0,1,0,12000,11.48,10,1,3,1
26,188000,0,10.0,5,3,20000,17.74,10,0,2,0
26,200000,0,4.0,4,1,3000,13.92,6,1,3,1
25,69996,3,9.0,1,2,25000,15.21,10,0,3,0
22,14400,2,2.0,3,0,4000,10.99,2,2,3,0
24,70000,3,3.0,1,0,25000,11.86,10,0,4,0
24,14400,2,5.0,4,0,6000,7.49,4,0,3,0
24,56100,3,7.0,3,2,25000,16.49,10,0,4,0
25,66000,3,9.0,5,2,25000,15.33,10,2,2,0
26,66000,3,3.0,2,0,25000,11.58,10,0,4,0
25,14400,2,7.0,1,0,5375,5.79,5,0,2,0
25,72612,3,9.0,3,1,25000,13.11,10,0,2,0
23,74000,3,3.0,3,0,25000,10.36,10,0,3,0
25,75000,3,9.0,0,0,25000,10.36,10,2,2,0
24,192000,3,0.0,3,1,22000,11.011821205538963,10,2,2,1
21,192000,0,123.0,5,0,20000,6.54,10,1,4,1
25,191000,0,1.0,3,0,10000,12.53,5,1,4,1
26,190300,0,5.0,4,0,15000,11.011821205538963,10,1,3,1
22,190000,0,3.0,5,1,10000,11.011821205538963,2,1,3,1
24,75000,3,4.0,1,0,25000,10.25,10,0,4,0
22,71000,3,1.0,1,2,25000,15.95,10,2,4,0
26,190000,0,3.0,5,0,20000,12.18,10,1,4,1
23,189996,2,0.0,4,0,24000,11.83,10,1,3,1
23,78000,3,1.0,5,0,25000,10.62,10,0,3,0
23,78504,3,7.0,5,0,25000,10.74,10,0,3,0
25,186000,2,9.0,5,0,10000,10.25,5,1,4,1
25,185000,3,6.0,5,1,15000,15.27,10,1,2,1
24,62050,3,8.0,3,2,25000,15.33,10,2,2,0
23,79416,3,7.0,5,2,25000,15.21,10,2,2,0
21,14400,2,4.0,5,1,6250,14.72,1,0,2,0
24,79631,3,8.0,4,2,25000,15.7,10,2,2,0
24,79632,3,0.0,1,1,25000,13.35,10,0,4,0
21,14400,0,0.0,3,1,1500,11.011821205538963,1,1,4,1
24,80000,3,6.0,1,0,25000,6.62,10,0,2,0
26,80000,3,5.0,0,1,25000,13.61,10,0,4,0
22,185000,3,4.0,3,0,25000,11.36,10,1,2,1
26,185000,2,10.0,4,0,5000,7.68,6,1,2,1
24,184992,3,7.0,2,2,22000,14.46,10,2,4,1
23,184000,2,5.0,1,0,2500,11.83,3,1,2,1
24,172000,0,6.0,0,1,20000,13.47,10,2,4,0
24,183000,0,2.0,3,0,20000,11.49,10,1,3,1
22,183000,0,3.0,1,0,1000,11.011821205538963,2,1,2,1
25,182952,0,9.0,4,0,15000,6.03,10,1,3,1
23,74004,3,7.0,0,3,25000,16.35,10,0,4,0
26,74004,3,10.0,0,2,25000,11.011821205538963,10,2,4,0
25,81000,3,5.0,0,0,25000,7.29,10,2,3,0
23,81600,3,1.0,3,0,25000,11.36,10,0,3,0
24,82000,3,8.0,5,0,25000,10.25,10,1,2,1
24,83000,3,5.0,1,0,25000,11.12,10,1,3,1
24,83000,3,5.0,4,2,25000,12.92,10,2,3,1
24,180000,3,8.0,1,3,18000,18.64,10,2,4,1
23,180000,0,8.0,4,0,28000,7.51,10,1,3,1
23,14400,2,2.0,2,3,4000,16.7,3,0,2,0
22,14400,2,0.0,4,0,2100,11.14,2,1,4,1
22,84500,3,6.0,4,4,25000,18.3,10,1,4,1
24,85000,3,5.0,3,0,25000,10.62,10,1,4,1
24,180000,0,7.0,5,0,14000,11.99,10,1,2,1
26,180000,0,2.0,5,0,12000,9.63,10,1,4,1
25,142800,0,9.0,3,4,10000,18.25,5,0,4,0
23,14664,0,0.0,0,1,6000,11.011821205538963,3,0,4,0
24,87000,3,8.0,2,2,25000,14.84,10,1,3,1
24,75000,3,0.0,5,3,25000,14.7,10,2,3,0
23,76000,3,7.0,0,2,25000,16.02,10,0,4,0
23,66215,3,1.0,3,2,25000,15.37,10,2,2,0
25,90000,3,9.0,3,0,25000,10.99,10,1,4,1
21,15000,2,0.0,2,0,6200,7.9,1,0,2,0
26,180000,2,2.0,4,0,25000,10.99,10,1,4,1
24,180000,2,8.0,1,0,21000,11.48,10,1,3,1
25,180000,2,9.0,3,1,20000,14.26,10,2,4,1
26,180000,2,0.0,2,0,10000,8.0,6,1,4,1
25,180000,0,3.0,5,0,9950,11.26,5,1,2,1
23,15000,2,7.0,3,0,4475,11.011821205538963,3,2,4,0
23,78000,3,2.0,5,2,25000,16.32,10,2,3,0
25,66300,3,3.0,3,3,25000,17.93,10,2,4,0
23,90000,3,0.0,0,0,25000,11.36,10,2,3,1
24,79000,3,9.0,0,2,25000,14.96,10,2,4,0
24,91800,3,4.0,4,1,25000,13.43,10,2,3,1
25,92000,3,6.0,2,0,25000,12.69,10,1,3,1
24,92000,3,1.0,5,1,25000,12.73,10,2,4,1
23,93600,3,3.0,5,2,25000,15.21,10,1,4,1
23,15000,0,1.0,3,1,1750,12.68,3,2,3,1
23,70550,3,3.0,3,4,25000,19.04,10,2,4,0
25,83800,3,2.0,0,2,25000,15.95,10,2,3,0
26,175000,0,3.0,5,0,2600,8.9,6,1,4,1
25,175000,0,10.0,2,0,8000,7.9,5,1,2,1
22,175000,0,6.0,1,0,18000,11.011821205538963,10,1,2,1
23,175000,0,8.0,4,0,21000,11.99,10,1,3,1
23,15000,2,4.0,0,1,4000,13.98,3,0,4,0
23,15000,2,4.0,5,0,4600,10.99,3,0,2,0
22,88000,3,6.0,0,2,25000,15.58,10,2,2,0
25,74800,3,2.0,3,0,25000,10.99,10,0,2,0
25,88000,3,0.0,5,2,25000,14.96,10,0,4,0
25,15000,2,2.0,2,2,1750,15.31,5,2,4,1
26,88000,3,2.0,5,2,25000,15.65,10,0,3,0
25,100000,3,1.0,5,0,25000,9.33,10,1,4,1
23,15000,0,0.0,4,1,3600,13.47,3,0,4,0
24,102400,3,8.0,4,0,25000,10.36,10,1,3,1
24,92000,3,1.0,2,3,25000,16.77,10,2,4,0
23,93000,3,0.0,0,2,25000,14.59,10,2,2,0
22,175000,3,6.0,5,1,3500,11.91,2,2,2,1
23,175000,0,3.0,1,0,7200,8.38,3,1,3,1
25,174708,3,9.0,5,0,9000,10.59,5,1,3,1
25,174000,0,2.0,0,1,8800,14.27,5,1,3,1
26,174000,3,8.0,0,0,12000,12.53,10,2,4,1
25,162000,0,5.0,0,3,25000,16.0,10,2,3,0
26,173467,0,10.0,5,0,10000,11.71,6,1,4,1
21,15000,2,0.0,2,1,3175,11.54,1,2,3,0
25,96000,3,2.0,2,3,25000,15.68,10,2,4,0
21,15120,0,0.0,1,0,1500,10.59,1,1,2,1
24,97908,3,8.0,2,2,25000,12.61,10,2,2,0
26,110000,3,3.0,4,1,25000,11.011821205538963,10,2,2,1
23,15204,0,7.0,4,0,2800,8.49,3,0,3,0
25,159600,3,0.0,4,2,30000,17.27,10,2,4,0
24,171500,3,6.0,0,0,18000,8.9,10,2,4,1
25,170004,0,3.0,3,0,10000,11.11,5,1,4,1
24,158004,3,0.0,2,2,25000,14.59,10,2,2,0
26,170000,3,0.0,5,0,13000,12.42,10,1,3,1
24,83300,3,0.0,3,2,25000,11.011821205538963,10,0,2,0
24,110000,3,7.0,2,2,25000,15.7,10,2,2,1
22,15360,2,7.0,2,0,2500,12.53,2,0,3,0
25,134300,3,3.0,3,2,5000,16.49,5,0,2,0
25,170000,0,2.0,1,0,20000,7.49,10,1,2,1
22,100580,3,6.0,0,2,25000,14.96,10,2,2,0
25,113000,3,7.0,3,1,25000,12.73,10,2,4,1
24,120000,3,8.0,1,0,25000,10.65,10,1,4,1
25,120000,3,6.0,3,0,1000000,10.74,10,0,2,0
23,120000,3,7.0,1,0,25000,9.99,10,1,2,1
24,91800,3,5.0,3,2,25000,15.33,10,2,2,0
21,15600,2,5.0,5,0,1000,7.29,1,1,4,1
26,108000,3,2.0,4,2,25000,15.05,10,0,3,0
26,129996,3,6.0,4,0,25000,10.75,10,1,3,1
23,130000,3,4.0,1,2,25000,16.02,10,2,2,1
23,130000,3,7.0,5,0,25000,11.49,10,1,4,1
25,170000,2,4.0,1,0,20000,12.53,10,1,4,1
26,170000,0,0.0,5,1,12000,13.57,10,2,2,1
22,169000,3,1.0,4,0,14000,11.14,10,1,3,1
26,168750,3,10.0,3,1,24250,12.87,10,2,3,1
23,168600,3,3.0,1,0,20000,11.58,10,2,3,1
24,168288,3,5.0,2,0,1800,11.12,4,1,3,1
25,168000,0,2.0,4,0,35000,10.65,10,1,2,1
24,133300,3,6.0,0,0,25000,10.37,10,2,2,1
24,15600,2,5.0,2,0,3300,6.39,4,0,4,0
24,134000,3,8.0,4,2,25000,16.07,10,2,3,1
25,134000,3,7.0,3,0,25000,10.62,10,1,2,1
25,15600,2,0.0,5,4,3200,18.09,5,0,2,0
25,135000,3,5.0,1,0,25000,11.36,10,1,4,1
26,135660,3,10.0,0,0,25000,12.53,10,2,4,1
25,145000,3,0.0,1,0,25000,9.99,10,1,4,1
23,150000,3,4.0,1,0,25000,10.36,10,1,3,1
23,165000,0,3.0,1,0,9600,5.99,3,1,3,1
22,153000,0,5.0,0,2,24000,15.62,10,2,2,0
24,165000,0,5.0,4,0,20000,10.37,10,1,4,1
25,165000,0,0.0,2,4,25000,19.74,10,1,4,1
21,165000,0,5.0,1,0,20000,6.91,10,1,4,1
23,16000,2,7.0,3,0,6000,7.9,3,0,2,0
23,16000,0,3.0,0,1,2275,13.06,3,2,4,1
23,16000,2,7.0,4,0,2000,6.39,3,1,3,1
23,148000,3,1.0,0,3,25000,14.93,10,0,3,0
23,16000,0,1.0,3,1,5600,12.84,3,0,4,0
24,16020,2,3.0,5,3,3625,17.14,4,2,2,0
22,16094,0,2.0,5,0,5500,7.14,2,0,3,0
25,175000,3,2.0,4,0,25000,8.9,10,1,2,1
22,16200,2,6.0,4,0,2000,12.42,2,1,3,1
24,185000,3,7.0,2,1,25000,12.68,10,2,2,1
25,162000,3,9.0,4,1,25000,11.03,10,1,2,1
26,161000,3,10.0,5,0,30000,7.9,10,1,4,1
22,160000,0,0.0,3,0,35000,10.65,10,1,4,1
25,225000,3,5.0,5,0,25000,11.86,10,2,4,1
25,16400,2,1.0,4,0,5000,8.94,5,0,4,0
23,16500,2,6.0,5,0,4375,9.63,3,0,4,0
25,49500,3,6.0,4,1,24750,14.22,10,0,3,0
23,60000,3,4.0,0,0,24750,9.33,10,2,3,0
24,84200,3,8.0,3,1,24500,13.85,10,1,4,1
22,16800,0,5.0,1,0,2000,10.65,2,1,2,1
24,92000,3,8.0,3,0,24500,11.46,10,1,4,1
23,160000,0,5.0,4,0,35000,7.66,10,1,2,1
24,160000,0,9.0,5,3,12000,16.77,10,1,4,1
25,160000,0,1.0,4,0,12000,9.63,10,1,4,1
26,160000,3,6.0,4,1,25000,12.23,10,2,4,1
25,125800,0,0.0,3,2,10000,14.09,5,0,4,0
25,54000,3,2.0,4,1,24250,13.98,10,0,4,0
23,62500,3,1.0,1,0,24250,10.62,10,0,4,0
25,68400,3,9.0,4,3,24250,17.56,10,0,4,0
26,56045,3,1.0,3,2,24250,14.96,10,0,2,0
22,74000,3,7.0,0,2,24250,15.65,10,2,2,0
24,65453,3,9.0,3,2,24250,15.7,10,0,2,0
24,89908,3,1.0,5,0,24250,12.53,10,1,3,1
26,78000,3,0.0,2,3,24250,17.56,10,2,3,0
23,100000,3,0.0,4,1,24250,12.87,10,2,2,1
23,103000,3,6.0,4,2,24250,15.7,10,1,2,1
25,160000,0,2.0,1,0,9000,11.011821205538963,5,1,3,1
25,160000,2,5.0,5,0,15000,11.14,10,1,4,1
24,160000,0,3.0,5,2,20000,16.0,10,1,3,1
23,160000,0,2.0,1,2,25000,15.65,10,2,2,1
26,160000,0,0.0,0,1,13750,11.011821205538963,10,1,4,1
21,160000,0,3.0,5,2,15250,15.31,10,2,4,1
25,160000,0,3.0,5,1,20000,13.47,10,2,2,1
22,16800,0,0.0,2,1,4750,13.85,2,2,2,0
25,111996,3,9.0,4,2,24250,11.011821205538963,10,1,3,1
21,16800,0,0.0,5,0,6000,10.39,1,0,4,0
25,115200,3,0.0,2,0,24250,11.36,10,1,2,1
23,144000,3,0.0,1,0,24250,11.83,10,1,3,1
23,287000,3,3.0,1,0,24250,12.53,10,1,3,1
22,108000,3,1.0,2,2,24150,14.96,10,2,3,0
22,43000,3,7.0,0,1,24000,13.85,10,2,3,0
23,47004,3,1.0,5,1,24000,11.58,10,0,4,0
24,48000,3,4.0,5,2,24000,16.29,10,2,2,0
26,48000,3,4.0,3,1,24000,11.011821205538963,10,0,3,0
21,44964,3,2.0,1,2,24000,16.29,10,2,2,0
24,47000,3,3.0,4,4,24000,17.8,10,0,2,0
22,17400,0,6.0,5,0,1000,11.36,2,1,2,1
22,49000,3,2.0,3,3,24000,17.56,10,0,4,0
26,60000,3,0.0,4,0,24000,7.9,10,0,4,0
25,60000,3,3.0,4,0,24000,10.99,10,0,4,0
22,60000,3,0.0,4,0,24000,7.29,10,0,3,0
21,60000,3,5.0,3,0,24000,10.75,10,0,2,0
26,62004,3,9.0,0,0,24000,7.9,10,2,3,0
22,62400,3,3.0,1,2,24000,14.84,10,0,2,0
26,65000,3,10.0,0,0,24000,11.011821205538963,10,2,2,0
22,17760,0,6.0,1,1,4975,11.011821205538963,2,2,3,0
23,59000,3,5.0,0,3,24000,19.69,10,2,2,0
23,66000,3,6.0,5,0,24000,11.011821205538963,10,0,4,0
24,60000,3,0.0,5,2,24000,14.96,10,0,4,0
25,66143,3,9.0,1,0,24000,6.99,10,2,3,0
22,62250,3,3.0,4,3,24000,16.45,10,2,4,0
24,70000,3,8.0,1,0,24000,10.99,10,0,4,0
23,74000,3,7.0,0,0,24000,10.99,10,2,2,0
22,18000,2,3.0,4,0,3000,7.9,2,0,4,0
22,75000,3,6.0,1,0,24000,12.69,10,0,4,0
24,75000,3,9.0,3,0,24000,10.37,10,0,3,0
24,75000,3,7.0,2,1,24000,11.011821205538963,10,0,3,0
26,69000,3,0.0,0,4,24000,15.83,10,0,3,0
23,78000,3,4.0,4,1,24000,13.92,10,0,3,0
24,80000,3,2.0,3,0,24000,10.25,10,1,2,1
22,18000,2,1.0,2,0,3500,7.49,2,0,4,0
23,18000,2,3.0,1,0,4000,5.99,3,0,2,0
23,74700,3,6.0,4,2,24000,12.92,10,0,2,0
26,88596,3,3.0,4,0,24000,11.58,10,1,3,1
25,95000,3,4.0,1,0,24000,8.9,10,1,2,1
22,83000,3,6.0,0,3,24000,19.69,10,0,3,0
25,95000,3,9.0,5,0,24000,6.54,10,1,4,1
21,18000,2,3.0,2,2,4900,14.54,1,2,4,0
26,100000,3,5.0,4,1,24000,12.73,10,1,4,1
24,110000,3,7.0,5,2,24000,15.62,10,1,4,1
24,18000,2,0.0,2,0,6250,6.54,4,0,4,0
22,98000,3,7.0,0,4,24000,11.011821205538963,10,2,2,0
26,103872,3,6.0,0,4,24000,20.03,10,0,4,0
22,120000,3,4.0,1,0,24000,9.91,10,1,4,1
24,120000,3,1.0,5,0,24000,12.69,10,1,4,1
26,108000,3,9.0,1,4,24000,20.16,10,0,3,0
24,124080,3,4.0,4,2,24000,16.49,10,2,4,1
23,18000,0,1.0,3,2,2500,15.95,3,0,2,0
24,130000,3,7.0,0,0,24000,11.49,10,1,3,1
25,135000,3,8.0,4,0,24000,10.99,10,1,2,1
24,135000,3,4.0,2,1,24000,13.79,10,1,2,1
23,114750,3,2.0,3,4,24000,20.03,10,2,3,0
23,150000,3,0.0,1,0,24000,7.49,10,1,4,1
23,138000,3,7.0,0,2,24000,16.0,10,2,2,0
24,18000,2,6.0,4,0,13000,7.88,10,0,3,0
21,18000,2,0.0,5,0,6250,10.62,1,0,4,0
26,155000,3,7.0,0,0,24000,10.99,10,1,4,1
26,148000,3,1.0,1,4,24000,18.3,10,0,2,0
